task_id,candidate_model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action
task018,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task018.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,871210,999,32157,872209,11.321216,True,high,4,probe_bottom15_structural_difference
task025,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task025.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,12050352,65193,826752,12115545,8.690000,True,high,9,probe_bottom15_structural_difference
task054,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task054.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,182795,161,9728,182956,12.882999,True,high,3,probe_bottom15_structural_difference
task133,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task133.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,10293676,228894,783434,10522570,8.830967,True,high,8,probe_bottom15_structural_difference
task158,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task158.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,6567456,765,95337,6568221,9.302246,True,high,7,probe_bottom15_structural_difference
task173,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task173.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,181811,216,10108,182027,12.888090,True,high,2,probe_bottom15_structural_difference
task233,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task233.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,5554132,142960,938774,5697092,9.444534,True,high,6,probe_bottom15_structural_difference
task243,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task243.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,1243112,32,23604,1243144,10.966846,True,high,5,probe_bottom15_structural_difference
task255,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task255.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,43382402,17900,106804,43400302,7.414023,True,high,10,probe_bottom15_structural_difference
task285,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task285.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,181224052,2539,42591,181226591,5.984741,True,high,12,probe_bottom15_structural_difference
task286,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task286.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,169972,1302,13714,171274,12.948980,True,high,1,probe_bottom15_structural_difference
task366,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task366.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,60592286,51979,1269927,60644265,7.079464,True,high,11,probe_bottom15_structural_difference
task233,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_zip\official_001_400\task233.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_016_jonathan_task233_probe,jonathan_structural_pass_mix,,,39834,39834,-10.680000,true,medium,,rejected_for_current_base
task255,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_zip\official_001_400\task255.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_016_jonathan_task255_probe,jonathan_structural_pass_mix,,,34023,34023,-10.660000,true,medium,,rejected_for_current_base
